Date,Time,Temp (°F)
7/6/22,100,63.8
7/6/22,0,62.6
7/5/22,2300,63.1
7/5/22,2200,63.9
7/5/22,2100,66.5
7/5/22,2000,70.9
7/5/22,1900,72.9
7/5/22,1800,74
7/5/22,1700,74.5
7/5/22,1600,74.6
7/5/22,1500,75.9
7/5/22,1400,75.6
7/5/22,1300,74.6
7/5/22,1200,71.5
7/5/22,1100,71.7
7/5/22,1000,71.6
7/5/22,900,70.4
7/5/22,800,67.8
7/5/22,700,66
7/5/22,600,65.8
7/5/22,500,66
7/5/22,400,66.1
7/5/22,300,66.6
7/5/22,200,66.9
7/5/22,100,66.9
7/5/22,0,66.7
7/4/22,2300,67.2
7/4/22,2200,66.5
7/4/22,2100,67.4
7/4/22,2000,70.8
7/4/22,1900,75
7/4/22,1800,75.2
7/4/22,1700,77.8
7/4/22,1600,74.2
7/4/22,1500,74.2
7/4/22,1400,74.3
7/4/22,1300,72.5
7/4/22,1200,70.1
7/4/22,1100,67.4
7/4/22,1000,65.8
7/4/22,900,64.6
7/4/22,800,60.8
7/4/22,700,58
7/4/22,600,59
7/4/22,500,58.7
7/4/22,400,57.9
7/4/22,300,56
7/4/22,200,55.1
7/4/22,100,53.3
7/4/22,0,53.8
7/3/22,2300,55.8
7/3/22,2200,57.4
7/3/22,2100,59.5
7/3/22,2000,62.6
7/3/22,1900,64.6
7/3/22,1800,66
7/3/22,1700,66.7
7/3/22,1600,66.2
7/3/22,1500,65.4
7/3/22,1400,63.5
7/3/22,1300,61.4
7/3/22,1200,60.6
7/3/22,1100,59.8
7/3/22,1000,59.5
7/3/22,900,58.6
7/3/22,800,57.7
7/3/22,700,57.1
7/3/22,600,56.5
7/3/22,500,56.2
7/3/22,400,56.5
7/3/22,300,56.8
7/3/22,200,57
7/3/22,100,57.1
7/3/22,0,57.7
7/2/22,2300,58
7/2/22,2200,58.3
7/2/22,2100,58.6
7/2/22,2000,59
7/2/22,1900,61.2
7/2/22,1800,63.2
7/2/22,1700,64.2
7/2/22,1600,64.8
7/2/22,1500,65.2
7/2/22,1400,66.2
7/2/22,1300,64.2
7/2/22,1200,63.4
7/2/22,1100,60.4
7/2/22,1000,59.3
7/2/22,900,58.2
7/2/22,800,56.8
7/2/22,700,54
7/2/22,600,51.4
7/2/22,500,49.4
7/2/22,400,48.1
7/2/22,300,48.4
7/2/22,200,49.5
7/2/22,100,51
7/2/22,0,52.7
7/1/22,2300,54.9
7/1/22,2200,56.9
7/1/22,2100,61
7/1/22,2000,65.3
7/1/22,1900,69.4
7/1/22,1800,71.9
7/1/22,1700,72.2
7/1/22,1600,72.2
7/1/22,1500,71.3
7/1/22,1400,69.5
7/1/22,1300,68.3
7/1/22,1200,66.8
7/1/22,1100,65.6
7/1/22,1000,63.8
7/1/22,900,59.7
7/1/22,800,54.7
7/1/22,700,48.1
7/1/22,600,47.1
7/1/22,500,47
7/1/22,400,49.1
7/1/22,300,49.4
7/1/22,200,49.9
7/1/22,100,51.4
7/1/22,0,54.2
6/30/22,2300,56.1
6/30/22,2200,57.8
6/30/22,2100,61.4
6/30/22,2000,66.3
6/30/22,1900,68.6
6/30/22,1800,71
6/30/22,1700,70.3
6/30/22,1600,70.4
6/30/22,1500,69.2
6/30/22,1400,69.8
6/30/22,1300,68.8
6/30/22,1200,67.8
6/30/22,1100,64.7
6/30/22,1000,62.6
6/30/22,700,50.6
6/30/22,600,50.5
6/30/22,500,51.1
6/30/22,400,51.8
6/30/22,300,53.8
6/30/22,200,54.2
6/30/22,100,55.6
6/30/22,0,56.7
6/29/22,2300,56.5
6/29/22,2200,58.6
6/29/22,2100,61.9
6/29/22,2000,67
6/29/22,1900,70.9
6/29/22,1800,72.6
6/29/22,1700,72.7
6/29/22,1600,71.9
6/29/22,1500,72.1
6/29/22,1400,70.4
6/29/22,1300,69.6
6/29/22,1200,67.6
6/29/22,1100,66
6/29/22,1000,64.6
6/29/22,900,61.8
6/29/22,800,58.5
6/29/22,700,53
6/29/22,600,52
6/29/22,500,54
6/29/22,400,55
6/29/22,300,56.6
6/29/22,200,58.6
6/29/22,100,60.6
6/29/22,0,61.9
6/28/22,2300,62.8
6/28/22,2200,64.6
6/28/22,2100,70.9
6/28/22,2000,73.4
6/28/22,1900,75.7
6/28/22,1800,79.1
6/28/22,1700,81.5
6/28/22,1600,82.7
6/28/22,1500,82.2
6/28/22,1400,79
6/28/22,1300,74.9
6/28/22,1200,71.3
6/28/22,1100,69.8
6/28/22,1000,66.6
6/28/22,900,62.4
6/28/22,800,58
6/28/22,700,52.4
6/28/22,600,52
6/28/22,500,53
6/28/22,400,53.8
6/28/22,300,54.4
6/28/22,200,55.1
6/28/22,100,56.7
6/28/22,0,58
6/27/22,2300,58.9
6/27/22,2200,63
6/27/22,2100,67.6
6/27/22,2000,73.2
6/27/22,1900,75.8
6/27/22,1800,77.8
6/27/22,1700,76
6/27/22,1600,76.1
6/27/22,1500,76.3
6/27/22,1400,74
6/27/22,1300,72.3
6/27/22,1200,70.1
6/27/22,1100,68
6/27/22,1000,64.6
6/27/22,900,61.5
6/27/22,800,59.5
6/27/22,700,59
6/27/22,600,59.1
6/27/22,500,59
6/27/22,400,58.6
6/27/22,300,57.6
6/27/22,200,54.9
6/27/22,100,56.1
6/27/22,0,57.2
6/26/22,2300,59.2
6/26/22,2200,61.2
6/26/22,2100,65
6/26/22,2000,69.1
6/26/22,1900,72.3
6/26/22,1800,74.4
6/26/22,1700,74.7
6/26/22,1600,74.2
6/26/22,1500,74.7
6/26/22,1400,72.7
6/26/22,1300,70.7
6/26/22,1200,70.7
6/26/22,1100,68.8
6/26/22,1000,64.8
6/26/22,900,61.3
6/26/22,800,59.2
6/26/22,700,58.4
6/26/22,600,56.7
6/26/22,500,53.8
6/26/22,400,52.5
6/26/22,300,53.9
6/26/22,200,55.3
6/26/22,100,56.1
6/26/22,0,58.1
6/25/22,2300,59.6
6/25/22,2200,61.6
6/25/22,2100,64.6
6/25/22,2000,68.7
6/25/22,1900,74.3
6/25/22,1800,77.4
6/25/22,1700,79.6
6/25/22,1600,77.4
6/25/22,1500,77.4
6/25/22,1400,76.7
6/25/22,1300,74
6/25/22,1200,73.2
6/25/22,1100,70.7
6/25/22,1000,67.8
6/25/22,900,63
6/25/22,800,58.2
6/25/22,700,52.9
6/25/22,600,52.1
6/25/22,500,52.7
6/25/22,400,53.7
6/25/22,300,54.4
6/25/22,200,55.7
6/25/22,100,57.1
6/25/22,0,59.2
6/24/22,2300,61.3
6/24/22,2200,63.7
6/24/22,2100,67.6
6/24/22,2000,71.2
6/24/22,1900,75.7
6/24/22,1800,78.6
6/24/22,1700,79.7
6/24/22,1600,79.8
6/24/22,1500,80.4
6/24/22,1400,80.5
6/24/22,1300,78.9
6/24/22,1200,76
6/24/22,1100,73.4
6/24/22,1000,70.8
6/24/22,900,66.7
6/24/22,800,61.9
6/24/22,700,54.7
6/24/22,600,53.1
6/24/22,500,53.5
6/24/22,400,55.4
6/24/22,300,56.7
6/24/22,200,56.9
6/24/22,100,58.8
6/24/22,0,60
6/23/22,2300,60.9
6/23/22,2200,63.6
6/23/22,2100,66.6
6/23/22,2000,72.7
6/23/22,1900,76
6/23/22,1800,77.3
6/23/22,1700,78.1
6/23/22,1600,79.6
6/23/22,1500,81.5
6/23/22,1400,80.9
6/23/22,1300,79.3
6/23/22,1200,76.4
6/23/22,1100,75.8
6/23/22,1000,73.5
6/23/22,900,67.8
6/23/22,800,63.6
6/23/22,700,59.3
6/23/22,600,58.4
6/23/22,500,59.7
6/23/22,400,60
6/23/22,300,60.6
6/23/22,200,62.5
6/23/22,100,62.2
6/23/22,0,63.4
6/22/22,2300,64.8
6/22/22,2200,66.8
6/22/22,2100,67.5
6/22/22,2000,70.8
6/22/22,1900,73.6
6/22/22,1800,74
6/22/22,1700,75.6
6/22/22,1600,78.2
6/22/22,1500,87.4
6/22/22,1400,87.3
6/22/22,1300,85.2
6/22/22,1200,86.4
6/22/22,1100,83
6/22/22,1000,76.7
6/22/22,900,71
6/22/22,800,67
6/22/22,700,59.3
6/22/22,600,58.3
6/22/22,500,59.8
6/22/22,400,61.3
6/22/22,300,62.2
6/22/22,200,66.3
6/22/22,100,68.2
6/22/22,0,69.8
6/21/22,2300,70.6
6/21/22,2200,74.9
6/21/22,2100,86.6
6/21/22,2000,93.1
6/21/22,1900,96.7
6/21/22,1800,97.8
6/21/22,1700,97.8
6/21/22,1600,97.5
6/21/22,1500,96.4
6/21/22,1400,93.4
6/21/22,1300,90.9
6/21/22,1200,87.9
6/21/22,1100,85
6/21/22,1000,80.9
6/21/22,900,73.4
6/21/22,800,65.2
6/21/22,700,56.9
6/21/22,600,54.4
6/21/22,500,55
6/21/22,400,55.2
6/21/22,300,56.9
6/21/22,200,58.4
6/21/22,100,60.1
6/21/22,0,62.5
6/20/22,2300,64.7
6/20/22,2200,69.2
6/20/22,2100,76
6/20/22,2000,81.8
6/20/22,1900,85.4
6/20/22,1800,87
6/20/22,1700,87.5
6/20/22,1600,86.4
6/20/22,1500,84.5
6/20/22,1400,84.8
6/20/22,1300,82.6
6/20/22,1200,79.7
6/20/22,1100,75.4
6/20/22,1000,69
6/20/22,900,64.1
6/20/22,800,58.4
6/20/22,700,51
6/20/22,600,49.9
6/20/22,500,50.7
6/20/22,400,51.1
6/20/22,300,51.5
6/20/22,200,53.5
6/20/22,100,54.4
6/20/22,0,58.6
6/19/22,2300,62.9
6/19/22,2200,65.3
6/19/22,2100,70
6/19/22,2000,75
6/19/22,1900,76.9
6/19/22,1800,78.7
6/19/22,1700,79.8
6/19/22,1600,79.2
6/19/22,1500,78.8
6/19/22,1400,78
6/19/22,1300,74.7
6/19/22,1200,72.4
6/19/22,1100,68.8
6/19/22,1000,64.7
6/19/22,900,60.4
6/19/22,800,54.3
6/19/22,700,47.8
6/19/22,600,46.4
6/19/22,500,47.6
6/19/22,400,48.4
6/19/22,300,49.1
6/19/22,200,50.4
6/19/22,100,51.2
6/19/22,0,51.5
6/18/22,2300,52.4
6/18/22,2200,55.4
6/18/22,2100,58.3
6/18/22,2000,60.4
6/18/22,1900,62.3
6/18/22,1800,64
6/18/22,1700,64.7
6/18/22,1600,66.4
6/18/22,1500,66.6
6/18/22,1400,65.9
6/18/22,1300,65.3
6/18/22,1200,65.5
6/18/22,1100,64.2
6/18/22,1000,62
